Associated_Codes,Cash_Discount,DeIdentified_Max_Allowed,Deidentified_Min_Allowed,description,Gross_Charge,iobSelection,payer,Payer_Allowed_Amount
86703,42.0400,69.6500,25.2400,Lab Test - Identification of HIV-1 and HIV-2 Antibodies,105.0900,Outpatient,Kaiser Commercial,N/A
86703,42.0400,69.6500,25.2400,Lab Test - Identification of HIV-1 and HIV-2 Antibodies,105.0900,Outpatient,Medicare Advantage,N/A
86703,42.0400,69.6500,25.2400,Lab Test - Identification of HIV-1 and HIV-2 Antibodies,105.0900,Outpatient,United Commercial,25.2400
99202,62.3200,104.4100,28.7800,Outpatient Clinic Visit New Patient Level II,155.8100,Outpatient,Aetna Commercial,89.4900
99202,62.3200,104.4100,28.7800,Outpatient Clinic Visit New Patient Level II,155.8100,Outpatient,Anthem Commercial,N/A
99202,62.3200,104.4100,28.7800,Outpatient Clinic Visit New Patient Level II,155.8100,Outpatient,Cigna Commercial,69.6200
99202,62.3200,104.4100,28.7800,Outpatient Clinic Visit New Patient Level II,155.8100,Outpatient,Kaiser Commercial,101.1800
99202,62.3200,104.4100,28.7800,Outpatient Clinic Visit New Patient Level II,155.8100,Outpatient,Medicare Advantage,N/A
99202,62.3200,104.4100,28.7800,Outpatient Clinic Visit New Patient Level II,155.8100,Outpatient,United Commercial,63.1100
99203,86.4700,142.1700,76.5300,Outpatient Clinic Visit New Patient Level III,216.1700,Outpatient,Aetna Commercial,124.4300
99203,86.4700,142.1700,76.5300,Outpatient Clinic Visit New Patient Level III,216.1700,Outpatient,Anthem Commercial,N/A
99203,86.4700,142.1700,76.5300,Outpatient Clinic Visit New Patient Level III,216.1700,Outpatient,Cigna Commercial,121.6200
99203,86.4700,142.1700,76.5300,Outpatient Clinic Visit New Patient Level III,216.1700,Outpatient,Kaiser Commercial,142.1700
99203,86.4700,142.1700,76.5300,Outpatient Clinic Visit New Patient Level III,216.1700,Outpatient,Medicare Advantage,N/A
99203,86.4700,142.1700,76.5300,Outpatient Clinic Visit New Patient Level III,216.1700,Outpatient,United Commercial,76.5300
99204,108.2800,182.7800,38.4100,Outpatient Clinic Visit New Patient Level IV,270.7100,Outpatient,Aetna Commercial,156.5900
99204,108.2800,182.7800,38.4100,Outpatient Clinic Visit New Patient Level IV,270.7100,Outpatient,Anthem Commercial,167.1800
99204,108.2800,182.7800,38.4100,Outpatient Clinic Visit New Patient Level IV,270.7100,Outpatient,Cigna Commercial,N/A
99204,108.2800,182.7800,38.4100,Outpatient Clinic Visit New Patient Level IV,270.7100,Outpatient,Kaiser Commercial,175.0900
99204,108.2800,182.7800,38.4100,Outpatient Clinic Visit New Patient Level IV,270.7100,Outpatient,Medicare Advantage,N/A
99204,108.2800,182.7800,38.4100,Outpatient Clinic Visit New Patient Level IV,270.7100,Outpatient,United Commercial,89.6500
99205,138.2100,275.0400,96.8500,Outpatient Clinic Visit New Patient Level V,345.5100,Outpatient,Aetna Commercial,198.5900
99205,138.2100,275.0400,96.8500,Outpatient Clinic Visit New Patient Level V,345.5100,Outpatient,Anthem Commercial,N/A
99205,138.2100,275.0400,96.8500,Outpatient Clinic Visit New Patient Level V,345.5100,Outpatient,Cigna Commercial,202.8400
99205,138.2100,275.0400,96.8500,Outpatient Clinic Visit New Patient Level V,345.5100,Outpatient,Kaiser Commercial,226.0500
99205,138.2100,275.0400,96.8500,Outpatient Clinic Visit New Patient Level V,345.5100,Outpatient,Medicare Advantage,N/A
99205,138.2100,275.0400,96.8500,Outpatient Clinic Visit New Patient Level V,345.5100,Outpatient,United Commercial,96.8500
99281,316.3700,434.0400,71.4000,Level 1 Emergency Department Visit,790.9400,Outpatient,Aetna Commercial,434.0400
99281,316.3700,434.0400,71.4000,Level 1 Emergency Department Visit,790.9400,Outpatient,Anthem Commercial,340.5900
99281,316.3700,434.0400,71.4000,Level 1 Emergency Department Visit,790.9400,Outpatient,Cigna Commercial,317.8000
99281,316.3700,434.0400,71.4000,Level 1 Emergency Department Visit,790.9400,Outpatient,Kaiser Commercial,283.5800
99281,316.3700,434.0400,71.4000,Level 1 Emergency Department Visit,790.9400,Outpatient,Medicare Advantage,N/A
99281,316.3700,434.0400,71.4000,Level 1 Emergency Department Visit,790.9400,Outpatient,United Commercial,376.9500
99282,418.4600,915.0000,130.1600,Level 2 Emergency Department Visit,1046.1400,Outpatient,Aetna Commercial,915.0000
99282,418.4600,915.0000,130.1600,Level 2 Emergency Department Visit,1046.1400,Outpatient,Anthem Commercial,658.5900
99282,418.4600,915.0000,130.1600,Level 2 Emergency Department Visit,1046.1400,Outpatient,Cigna Commercial,664.7300
99282,418.4600,915.0000,130.1600,Level 2 Emergency Department Visit,1046.1400,Outpatient,Kaiser Commercial,570.4700
99282,418.4600,915.0000,130.1600,Level 2 Emergency Department Visit,1046.1400,Outpatient,Medicare Advantage,N/A
99282,418.4600,915.0000,130.1600,Level 2 Emergency Department Visit,1046.1400,Outpatient,United Commercial,536.6800
99283,912.3000,1609.6800,129.5800,Level 3 Emergency Department Visit,2280.7600,Outpatient,Aetna Commercial,1609.6800
99283,912.3000,1609.6800,129.5800,Level 3 Emergency Department Visit,2280.7600,Outpatient,Anthem Commercial,1391.2000
99283,912.3000,1609.6800,129.5800,Level 3 Emergency Department Visit,2280.7600,Outpatient,Cigna Commercial,1325.5500
99283,912.3000,1609.6800,129.5800,Level 3 Emergency Department Visit,2280.7600,Outpatient,Kaiser Commercial,1267.0000
99283,912.3000,1609.6800,129.5800,Level 3 Emergency Department Visit,2280.7600,Outpatient,Medicare Advantage,N/A
99283,912.3000,1609.6800,129.5800,Level 3 Emergency Department Visit,2280.7600,Outpatient,United Commercial,973.2200
99284,2509.0800,3055.1300,137.1700,Level 4 Emergency Department Visit,6272.7000,Outpatient,Aetna Commercial,3055.1300
99284,2509.0800,3055.1300,137.1700,Level 4 Emergency Department Visit,6272.7000,Outpatient,Anthem Commercial,2787.0000
99284,2509.0800,3055.1300,137.1700,Level 4 Emergency Department Visit,6272.7000,Outpatient,Cigna Commercial,2106.3700
99284,2509.0800,3055.1300,137.1700,Level 4 Emergency Department Visit,6272.7000,Outpatient,Kaiser Commercial,2173.9200
99284,2509.0800,3055.1300,137.1700,Level 4 Emergency Department Visit,6272.7000,Outpatient,Medicare Advantage,N/A
99284,2509.0800,3055.1300,137.1700,Level 4 Emergency Department Visit,6272.7000,Outpatient,United Commercial,2405.1300
99285,3529.8100,5377.4200,283.4400,Level 5 Emergency Department Visit,8824.5300,Outpatient,Aetna Commercial,5377.4200
99285,3529.8100,5377.4200,283.4400,Level 5 Emergency Department Visit,8824.5300,Outpatient,Anthem Commercial,3649.7600
99285,3529.8100,5377.4200,283.4400,Level 5 Emergency Department Visit,8824.5300,Outpatient,Cigna Commercial,2670.7700
99285,3529.8100,5377.4200,283.4400,Level 5 Emergency Department Visit,8824.5300,Outpatient,Kaiser Commercial,4068.4000
99285,3529.8100,5377.4200,283.4400,Level 5 Emergency Department Visit,8824.5300,Outpatient,Medicare Advantage,N/A
99285,3529.8100,5377.4200,283.4400,Level 5 Emergency Department Visit,8824.5300,Outpatient,United Commercial,3815.3700
