Associated_Codes,Cash_Discount_Price_Price,DeIdentified_Max_Allowed,Deidentified_Min_Allowed,description,Gross_Charge,iobSelection,payer,Payer_Allowed_Amount
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Humana Preferred Provider Organization (PPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,PacifiCare of Colorado Medicare Advantage,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Exclusive Provider Organization (EPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Health Maintenance Organization,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Indemnity Insurance,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Medicaid,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Medicare Advantage,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Point of Service (POS),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Rocky Mountain Health Maintenance Organization Preferred Provider Organization (PPO),307.8700
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Behavioral Health Managed Care,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Dual Complete Managed Care,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Exclusive Provider Organization (EPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Health Maintenance Organization,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Indemnity Insurance,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Medicaid,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Medicare Advantage,457.7500
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Point of Service (POS),795.1500
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,United Healthcare Preferred Provider Organization (PPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Exclusive Provider Organization (EPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Indemnity Insurance,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Medicaid,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Point of Service (POS),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Aetna Preferred Provider Organization (PPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Anthem BCBS Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Anthem BCBS Indemnity Insurance,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Anthem BCBS Medicaid,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Anthem BCBS Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Anthem BCBS Point of Service (POS),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Anthem BCBS Preferred Provider Organization (PPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Cigna Exclusive Provider Organization (EPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Cigna Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Cigna Indemnity Insurance,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Cigna Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Cigna Point of Service (POS),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Cigna Preferred Provider Organization (PPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Colorado Access Medicaid,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Denver Health Medical Plan Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Denver Health Medical Plan Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Humana Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Humana Medicaid,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Humana Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Humana Point of Service (POS),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Humana Preferred Provider Organization (PPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,PacifiCare of Colorado Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Exclusive Provider Organization (EPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Indemnity Insurance,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Medicaid,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Medicare Advantage,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Point of Service (POS),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,Rocky Mountain Health Maintenance Organization Preferred Provider Organization (PPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Behavioral Health Managed Care,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Dual Complete Managed Care,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Exclusive Provider Organization (EPO),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Health Maintenance Organization,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Indemnity Insurance,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Medicaid,N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Medicare Advantage,851.5600
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Point of Service (POS),N/A
21048,2464.9100,851.5600,851.5600,Removal of Bone Cyst or Non-Cancerous Bony Growth from Upper Jaw Requiring Incision Inside Mouth,7042.6100,Outpatient,United Healthcare Preferred Provider Organization (PPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Exclusive Provider Organization (EPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Indemnity Insurance,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Medicaid,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Point of Service (POS),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Aetna Preferred Provider Organization (PPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Anthem BCBS Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Anthem BCBS Indemnity Insurance,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Anthem BCBS Medicaid,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Anthem BCBS Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Anthem BCBS Point of Service (POS),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Anthem BCBS Preferred Provider Organization (PPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Cigna Exclusive Provider Organization (EPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Cigna Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Cigna Indemnity Insurance,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Cigna Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Cigna Point of Service (POS),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Cigna Preferred Provider Organization (PPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Colorado Access Medicaid,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Denver Health Medical Plan Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Denver Health Medical Plan Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Humana Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Humana Medicaid,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Humana Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Humana Point of Service (POS),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Humana Preferred Provider Organization (PPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,PacifiCare of Colorado Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Exclusive Provider Organization (EPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Indemnity Insurance,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Medicaid,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Point of Service (POS),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,Rocky Mountain Health Maintenance Organization Preferred Provider Organization (PPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Behavioral Health Managed Care,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Dual Complete Managed Care,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Exclusive Provider Organization (EPO),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Health Maintenance Organization,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Indemnity Insurance,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Medicaid,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Medicare Advantage,N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Point of Service (POS),N/A
21557,7276.4000,N/A,N/A,Radical Removal of Soft Tissue Tumor From Neck or Chest Measuring Less Than 5 cm,20789.7200,Outpatient,United Healthcare Preferred Provider Organization (PPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Exclusive Provider Organization (EPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Health Maintenance Organization,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Indemnity Insurance,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Medicaid,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Medicare Advantage,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Point of Service (POS),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Aetna Preferred Provider Organization (PPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Anthem BCBS Health Maintenance Organization,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Anthem BCBS Indemnity Insurance,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Anthem BCBS Medicaid,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Anthem BCBS Medicare Advantage,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Anthem BCBS Point of Service (POS),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Anthem BCBS Preferred Provider Organization (PPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Cigna Exclusive Provider Organization (EPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Cigna Health Maintenance Organization,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Cigna Indemnity Insurance,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Cigna Medicare Advantage,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Cigna Point of Service (POS),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Cigna Preferred Provider Organization (PPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Colorado Access Medicaid,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Denver Health Medical Plan Health Maintenance Organization,3879.7600
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Denver Health Medical Plan Medicare Advantage,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Humana Health Maintenance Organization,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Humana Medicaid,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Humana Medicare Advantage,N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Humana Point of Service (POS),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,Humana Preferred Provider Organization (PPO),N/A
33218,3017.5900,3879.7600,3879.7600,Repair of Pacemaker Leads,8621.7000,Outpatient,PacifiCare of Colorado Medicare Advantage,N/A
